PID,detect_time,action
U00,2023-02-05 17:44:46.957,ACTION_SCREEN_OFF
U00,2023-02-05 18:31:40.969,ACTION_SCREEN_ON
U00,2023-02-05 18:32:25.711,ACTION_SCREEN_OFF
U00,2023-02-05 19:06:02.271,ACTION_SCREEN_ON
U00,2023-02-05 19:10:22.495,ACTION_SCREEN_OFF
U00,2023-02-05 19:10:22.699,ACTION_SCREEN_ON
U00,2023-02-05 19:10:26.122,ACTION_SCREEN_OFF
U00,2023-02-05 19:10:35.464,ACTION_SCREEN_ON
U00,2023-02-05 19:10:58.693,ACTION_SCREEN_OFF
U00,2023-02-05 19:10:58.846,ACTION_SCREEN_ON
U00,2023-02-05 19:11:02.847,ACTION_SCREEN_OFF
U00,2023-02-05 19:13:40.697,ACTION_SCREEN_ON
U00,2023-02-05 19:18:07.124,ACTION_SCREEN_OFF
U00,2023-02-05 19:19:16.915,ACTION_SCREEN_ON
U00,2023-02-05 19:19:25.799,ACTION_SCREEN_OFF
U00,2023-02-05 19:19:29.829,ACTION_SCREEN_ON
U00,2023-02-05 19:20:35.870,ACTION_SCREEN_OFF
U00,2023-02-05 19:20:36.492,ACTION_SCREEN_ON
U00,2023-02-05 19:21:14.764,ACTION_SCREEN_OFF
U00,2023-02-05 19:22:46.948,ACTION_SCREEN_ON
U00,2023-02-05 19:23:23.659,ACTION_SCREEN_OFF
